Date,Symbol,Open,High,Low,Close,Adj Close,Volume
13-07-2018,TATAMOTORS,267.3,269.4,262.7,263.6,265.9,8352827
16-07-2018,TATAMOTORS,260.5,260.8,250.5,252.1,255.63,11067012
17-07-2018,TATAMOTORS,253.0,259.0,252.3,257.95,256.55,6350966
18-07-2018,TATAMOTORS,259.45,259.45,247.3,251.85,252.61,9348644
19-07-2018,TATAMOTORS,254.0,257.85,251.2,252.5,254.54,9556686
20-07-2018,TATAMOTORS,252.7,254.0,251.0,253.4,252.74,6422014
23-07-2018,TATAMOTORS,254.95,259.5,251.1,258.75,255.87,8891743
24-07-2018,TATAMOTORS,258.75,263.75,257.1,258.8,260.21,9906160
25-07-2018,TATAMOTORS,260.0,261.7,256.1,257.85,258.49,6721386
26-07-2018,TATAMOTORS,260.1,263.0,257.5,258.25,260.04,8817721
27-07-2018,TATAMOTORS,259.1,269.7,258.55,268.15,266.19,15275469
30-07-2018,TATAMOTORS,267.75,271.65,266.2,267.5,269.2,7801098
31-07-2018,TATAMOTORS,268.95,270.45,262.2,264.1,264.96,10026055
01-08-2018,TATAMOTORS,250.0,268.0,250.0,265.05,260.06,53282545
02-08-2018,TATAMOTORS,263.45,266.45,258.7,260.85,262.61,17421472
03-08-2018,TATAMOTORS,262.15,263.85,257.6,258.45,260.96,9044248
06-08-2018,TATAMOTORS,259.95,261.8,252.5,254.05,257.56,11371744
07-08-2018,TATAMOTORS,255.2,256.0,250.55,251.6,253.14,14490829
08-08-2018,TATAMOTORS,253.5,258.25,251.85,255.15,255.37,16125867
09-08-2018,TATAMOTORS,256.65,260.4,255.5,257.85,258.39,7777719
10-08-2018,TATAMOTORS,257.25,258.65,249.55,250.1,252.57,14606037
13-08-2018,TATAMOTORS,249.25,249.7,243.1,248.7,247.37,13877900
14-08-2018,TATAMOTORS,248.6,249.85,247.2,248.8,248.55,9171033
16-08-2018,TATAMOTORS,245.8,252.8,245.25,251.3,250.19,14148347
17-08-2018,TATAMOTORS,253.7,260.1,253.0,258.25,256.76,16117660
20-08-2018,TATAMOTORS,261.85,271.85,259.2,270.1,267.63,25576718
21-08-2018,TATAMOTORS,271.85,274.7,266.7,268.8,271.73,19505584
23-08-2018,TATAMOTORS,269.2,269.2,256.0,256.9,260.16,18667622
24-08-2018,TATAMOTORS,257.0,258.65,255.0,255.5,256.79,8703468
27-08-2018,TATAMOTORS,257.0,259.5,256.5,258.8,258.25,6127707
28-08-2018,TATAMOTORS,261.7,263.25,259.05,260.0,261.14,8506857
29-08-2018,TATAMOTORS,261.05,263.5,261.0,261.7,262.36,5117552
30-08-2018,TATAMOTORS,262.3,263.0,259.0,259.35,260.38,6333570
31-08-2018,TATAMOTORS,259.1,268.25,258.1,267.5,264.41,12360078
03-09-2018,TATAMOTORS,271.4,273.0,265.25,266.6,269.2,14597832
04-09-2018,TATAMOTORS,270.5,270.8,260.35,261.95,265.69,14775900
05-09-2018,TATAMOTORS,261.0,271.0,255.4,266.5,262.0,10084307
06-09-2018,TATAMOTORS,269.7,272.0,263.85,269.95,268.39,14736214
07-09-2018,TATAMOTORS,269.55,279.9,269.25,277.4,276.39,26189156
10-09-2018,TATAMOTORS,276.0,282.0,271.75,275.7,277.42,21322969
11-09-2018,TATAMOTORS,277.25,278.85,265.7,267.3,272.84,13444031
12-09-2018,TATAMOTORS,268.2,268.2,258.85,262.4,262.05,14456273
14-09-2018,TATAMOTORS,265.0,269.6,263.4,266.6,266.66,10710620
17-09-2018,TATAMOTORS,263.35,264.1,259.65,260.25,262.12,9461420
18-09-2018,TATAMOTORS,257.75,259.8,250.6,251.5,255.4,11554420
19-09-2018,TATAMOTORS,253.55,255.0,251.0,252.6,253.1,7845650
21-09-2018,TATAMOTORS,255.05,257.7,228.85,250.35,249.89,18547453
24-09-2018,TATAMOTORS,250.2,251.0,239.35,240.2,244.4,8889259
25-09-2018,TATAMOTORS,241.0,243.5,235.45,240.8,239.95,9030367
26-09-2018,TATAMOTORS,242.3,243.2,229.55,233.35,233.88,17810869
27-09-2018,TATAMOTORS,234.8,236.55,223.1,225.25,228.36,17430781
28-09-2018,TATAMOTORS,227.9,230.7,219.5,223.7,225.65,14196824
01-10-2018,TATAMOTORS,225.0,230.45,220.0,229.35,225.4,9743094
03-10-2018,TATAMOTORS,230.0,232.8,225.8,227.6,229.17,9094685
04-10-2018,TATAMOTORS,224.0,230.8,221.75,223.25,225.61,13898979
05-10-2018,TATAMOTORS,222.75,226.45,214.75,216.25,220.81,10471026
08-10-2018,TATAMOTORS,217.8,218.5,208.1,212.35,213.94,11854170
09-10-2018,TATAMOTORS,205.7,206.0,170.3,184.35,184.41,142760251
10-10-2018,TATAMOTORS,186.0,190.95,185.05,188.75,187.99,35670907
11-10-2018,TATAMOTORS,180.65,187.75,178.0,182.95,184.57,19323517
12-10-2018,TATAMOTORS,185.95,188.4,182.6,183.75,185.15,18014894
15-10-2018,TATAMOTORS,186.5,186.5,182.7,184.35,184.31,11658409
16-10-2018,TATAMOTORS,185.2,187.25,184.55,185.85,186.03,9695745
17-10-2018,TATAMOTORS,187.6,187.8,179.1,179.95,183.08,12004524
19-10-2018,TATAMOTORS,178.95,179.75,174.0,174.7,176.27,10469358
