Date,Symbol,Open,High,Low,Close,Volume
2018-10-15,ADANIENT,147.0,153.75,143.8,152.45,9011923
2018-10-16,ADANIENT,152.35,160.0,151.75,157.65,9671300
2018-10-17,ADANIENT,160.1,163.65,154.25,161.75,11660585
2018-10-19,ADANIENT,158.5,170.7,158.5,168.75,11861481
2018-10-22,ADANIENT,171.1,176.7,164.4,168.5,13950566
2018-10-23,ADANIENT,169.0,171.85,166.0,169.55,8339433
2018-10-24,ADANIENT,171.0,172.25,165.1,167.55,5451065
2018-10-25,ADANIENT,166.75,174.4,161.5,172.1,7460591
2018-10-26,ADANIENT,174.0,174.75,165.3,166.75,6982991
2018-10-29,ADANIENT,168.65,172.6,165.05,171.75,5332500
2018-10-30,ADANIENT,172.5,174.0,168.1,169.05,3885243
2018-10-31,ADANIENT,167.0,173.8,164.7,170.0,10254679
2018-11-01,ADANIENT,171.05,178.1,168.85,175.0,8041754
2018-11-02,ADANIENT,176.6,179.5,173.8,175.6,6839045
2018-11-05,ADANIENT,176.1,176.75,155.8,168.5,12668556
2018-11-06,ADANIENT,168.25,169.0,162.0,164.45,5834504
2018-11-07,ADANIENT,165.0,169.0,164.7,165.75,1138303
2018-11-09,ADANIENT,165.5,167.8,163.95,166.3,4079435
2018-11-12,ADANIENT,166.0,167.9,158.15,160.25,4332207
2018-11-13,ADANIENT,160.25,163.0,158.75,162.15,3641712
2018-11-14,ADANIENT,163.3,163.75,158.25,160.85,3263131
2018-11-15,ADANIENT,161.75,166.25,160.0,162.85,5297431
2018-11-16,ADANIENT,163.0,163.85,157.5,161.45,3885301
2018-11-19,ADANIENT,162.4,164.4,159.55,162.1,3424402
2018-11-20,ADANIENT,161.65,163.65,156.95,160.15,4293856
2018-11-21,ADANIENT,161.6,162.0,158.5,161.0,4209404
2018-11-22,ADANIENT,161.9,161.95,157.55,158.5,2405010
2018-11-26,ADANIENT,158.5,159.9,155.65,157.35,2428238
2018-11-27,ADANIENT,157.35,161.0,154.25,159.15,3925863
2018-11-28,ADANIENT,159.15,159.6,156.3,158.0,3156482
2018-11-29,ADANIENT,159.35,175.55,158.7,169.9,13648898
2018-11-30,ADANIENT,168.5,174.8,163.5,165.0,9405499
2018-12-03,ADANIENT,166.05,168.5,163.5,166.7,3213684
2018-12-04,ADANIENT,165.95,166.5,160.0,162.75,3797368
2018-12-05,ADANIENT,161.05,164.95,155.75,157.4,8601249
2018-12-06,ADANIENT,155.8,156.0,149.75,150.55,5714514
2018-12-07,ADANIENT,151.8,154.35,150.0,152.9,7411261
2018-12-10,ADANIENT,146.85,147.0,141.0,143.15,7484723
2018-12-11,ADANIENT,139.0,155.85,134.5,151.9,9251826
2018-12-12,ADANIENT,152.8,157.0,151.05,156.1,4377945
2018-12-13,ADANIENT,156.0,158.6,154.0,156.0,3499313
2018-12-14,ADANIENT,156.0,157.9,154.1,157.1,3389589
2018-12-17,ADANIENT,157.1,158.9,156.35,157.95,1595605
2018-12-18,ADANIENT,157.7,159.75,156.2,158.05,1689582
2018-12-19,ADANIENT,160.0,162.7,158.5,160.2,2312343
2018-12-20,ADANIENT,159.4,162.5,158.4,159.25,2539589
2018-12-21,ADANIENT,159.8,161.5,152.0,159.35,5335334
2018-12-24,ADANIENT,159.4,160.9,156.5,158.55,3130614
2018-12-26,ADANIENT,156.85,164.1,155.1,161.25,4065516
2018-12-27,ADANIENT,162.25,167.8,159.85,162.35,10882426
2018-12-28,ADANIENT,161.95,164.3,159.8,161.55,3905985
2018-12-31,ADANIENT,162.85,164.2,160.2,161.0,3890636
2019-01-01,ADANIENT,160.9,162.35,155.45,157.25,4726656
2019-01-02,ADANIENT,157.0,157.85,152.5,154.85,2735262
2019-01-03,ADANIENT,154.9,156.1,150.3,152.5,2758876
2019-01-04,ADANIENT,152.1,154.0,150.0,152.55,2777308
2019-01-07,ADANIENT,152.9,154.45,150.25,151.25,2714218
2019-01-08,ADANIENT,150.5,154.3,149.65,153.45,2791866
2019-01-09,ADANIENT,153.6,154.45,147.6,149.35,4054809
2019-01-10,ADANIENT,151.0,151.8,148.5,151.1,3534546
2019-01-11,ADANIENT,151.1,152.6,149.1,151.5,2254999
2019-01-14,ADANIENT,151.0,151.15,147.0,148.35,2624582
2019-01-15,ADANIENT,148.5,149.95,147.25,148.65,1805678
2019-01-16,ADANIENT,148.2,150.7,148.0,148.45,1574176
2019-01-17,ADANIENT,148.4,151.25,146.35,149.0,2618859
2019-01-18,ADANIENT,149.7,149.8,144.55,146.75,2306520
2019-01-21,ADANIENT,146.5,148.0,144.25,145.95,1763205
2019-01-22,ADANIENT,145.4,146.65,141.7,145.7,2261667
2019-01-23,ADANIENT,145.5,146.5,142.05,143.0,2322990
2019-01-24,ADANIENT,143.0,144.05,141.1,142.55,1678843
2019-01-25,ADANIENT,142.85,145.45,136.15,137.35,3297651
2019-01-28,ADANIENT,138.0,141.0,118.95,136.4,9404485
2019-01-29,ADANIENT,136.45,143.8,133.6,140.8,4301493
2019-01-30,ADANIENT,140.9,141.5,136.5,139.9,3102926
2019-01-31,ADANIENT,139.5,141.75,135.0,137.15,3498642
2019-02-01,ADANIENT,136.95,144.8,134.55,143.0,7091209
2019-02-04,ADANIENT,142.9,142.9,121.3,123.1,9832462
2019-02-05,ADANIENT,122.0,127.4,119.6,124.25,8484607
2019-02-06,ADANIENT,123.85,124.2,114.8,122.9,9905219
2019-02-07,ADANIENT,122.2,126.8,119.05,123.95,9826247
2019-02-08,ADANIENT,123.0,125.45,115.7,123.75,8059813
2019-02-11,ADANIENT,122.95,123.25,115.8,118.2,7048335
2019-02-12,ADANIENT,117.2,120.0,115.35,116.95,3698931
2019-02-13,ADANIENT,117.0,125.6,115.5,119.55,9784596
2019-02-14,ADANIENT,118.45,119.5,116.0,118.1,4962697
2019-02-15,ADANIENT,118.15,121.15,116.5,119.8,4509378
2019-02-18,ADANIENT,118.3,119.9,116.1,117.5,2569451
2019-02-19,ADANIENT,118.4,119.8,116.8,118.25,2644152
2019-02-20,ADANIENT,117.95,121.1,116.2,120.05,3739081
2019-02-21,ADANIENT,119.8,121.0,117.9,119.4,2698192
2019-02-22,ADANIENT,120.25,130.7,119.8,128.05,14695085
2019-02-25,ADANIENT,125.0,133.9,123.0,132.0,12769956
2019-02-26,ADANIENT,130.0,134.3,128.0,132.1,8879092
2019-02-27,ADANIENT,133.8,136.3,129.55,132.25,5875292
2019-02-28,ADANIENT,133.5,134.2,128.0,128.85,3960957
2019-03-01,ADANIENT,130.35,135.2,128.85,133.85,7738116
2019-03-05,ADANIENT,132.5,143.7,132.0,141.8,7598974
2019-03-06,ADANIENT,142.75,143.75,138.2,139.25,4856085
2019-03-07,ADANIENT,139.0,140.95,135.3,136.9,3496617
2019-03-08,ADANIENT,135.75,139.35,135.4,138.2,3681442
2019-03-11,ADANIENT,137.85,140.95,137.6,139.05,2550759
2019-03-12,ADANIENT,140.5,150.75,140.05,148.4,12543653
2019-03-13,ADANIENT,148.4,150.4,145.4,147.35,5700158
2019-03-14,ADANIENT,147.4,149.2,143.6,145.55,4052596
2019-03-15,ADANIENT,145.8,148.9,140.25,141.85,5981701
2019-03-18,ADANIENT,142.4,145.0,140.35,143.9,4934286
2019-03-19,ADANIENT,144.45,144.85,140.5,142.0,4320808
2019-03-20,ADANIENT,142.0,142.7,138.05,139.45,3242462
2019-03-22,ADANIENT,140.7,141.45,137.05,138.25,3147147
2019-03-25,ADANIENT,137.0,137.6,133.5,134.35,2977535
2019-03-26,ADANIENT,134.9,140.0,133.4,138.3,4180951
2019-03-27,ADANIENT,138.55,140.95,136.25,137.5,2778662
2019-03-28,ADANIENT,138.45,143.15,136.3,137.8,3966292
2019-03-29,ADANIENT,139.6,150.2,139.3,146.75,13910654
2019-04-01,ADANIENT,147.45,153.2,145.1,151.45,7938713
2019-04-02,ADANIENT,151.7,153.3,148.35,151.65,6228254
2019-04-03,ADANIENT,150.3,152.65,146.6,147.55,3416023
2019-04-04,ADANIENT,147.95,150.3,145.45,147.5,3963980
2019-04-05,ADANIENT,148.0,149.2,146.2,146.9,2004719
2019-04-08,ADANIENT,147.5,148.65,141.1,141.95,4399839
2019-04-09,ADANIENT,142.3,147.0,137.45,146.0,8432342
2019-04-10,ADANIENT,145.75,147.4,142.05,142.85,4356153
2019-04-11,ADANIENT,142.75,143.15,138.6,141.0,3535449
2019-04-12,ADANIENT,140.8,144.45,139.2,141.4,5769634
2019-04-15,ADANIENT,141.0,145.15,140.55,142.95,4375074
2019-04-16,ADANIENT,142.2,145.35,142.2,143.05,3648947
2019-04-18,ADANIENT,143.1,144.45,137.65,138.6,3954004
2019-04-22,ADANIENT,138.0,138.65,134.35,135.15,3189574
2019-04-23,ADANIENT,135.4,136.3,131.55,132.5,4084835
2019-04-24,ADANIENT,132.75,137.1,132.1,136.15,4329268
2019-04-25,ADANIENT,135.1,137.0,133.85,134.75,2112063
2019-04-26,ADANIENT,135.0,135.65,130.25,131.4,4350584
2019-04-30,ADANIENT,131.8,131.8,125.0,127.05,4006829
2019-05-02,ADANIENT,126.0,130.0,124.8,126.65,3754433
2019-05-03,ADANIENT,124.0,129.0,123.0,128.3,6222801
2019-05-06,ADANIENT,125.75,127.4,125.05,125.6,1996014
2019-05-07,ADANIENT,126.4,127.0,120.05,122.35,4593214
2019-05-08,ADANIENT,121.8,123.65,120.4,120.9,2661345
2019-05-09,ADANIENT,121.9,122.2,119.15,120.1,2907774
2019-05-10,ADANIENT,121.0,122.3,119.25,120.0,2835247
2019-05-13,ADANIENT,120.7,120.9,116.65,117.6,2124122
2019-05-14,ADANIENT,116.35,124.55,115.0,123.35,4548264
2019-05-15,ADANIENT,124.2,124.95,116.1,117.4,3659017
2019-05-16,ADANIENT,118.1,119.5,113.0,118.8,5368281
2019-05-17,ADANIENT,117.75,120.55,116.1,119.3,4631007
2019-05-20,ADANIENT,131.2,154.9,128.1,151.95,37670288
2019-05-21,ADANIENT,154.7,158.95,148.45,154.65,39732349
2019-05-22,ADANIENT,155.05,158.8,152.8,157.95,13565092
2019-05-23,ADANIENT,169.5,180.8,157.7,161.05,61334483
2019-05-24,ADANIENT,162.35,163.75,151.85,156.4,19435041
2019-05-27,ADANIENT,159.1,160.7,155.15,157.2,9664810
2019-05-28,ADANIENT,157.1,160.35,156.05,157.65,5456461
2019-05-29,ADANIENT,157.95,158.4,151.75,155.15,12993604
2019-05-30,ADANIENT,158.1,159.4,155.1,158.1,6740283
2019-05-31,ADANIENT,158.5,159.3,149.1,154.75,7553254
2019-06-03,ADANIENT,154.0,161.9,151.65,159.05,7975636
2019-06-04,ADANIENT,158.15,159.3,154.5,157.6,5502910
2019-06-06,ADANIENT,156.9,157.8,151.2,153.15,3832155
2019-06-07,ADANIENT,152.95,153.55,146.8,151.35,5016442
2019-06-10,ADANIENT,152.0,155.5,147.0,149.95,3967379
2019-06-11,ADANIENT,149.5,154.25,148.35,153.6,3413094
2019-06-12,ADANIENT,154.0,159.35,150.55,153.2,7477081
2019-06-13,ADANIENT,153.2,158.85,149.0,153.1,7968656
2019-06-14,ADANIENT,156.0,156.0,151.55,152.45,6589668
2019-06-17,ADANIENT,153.0,153.95,147.25,147.9,3470303
2019-06-18,ADANIENT,147.35,148.85,144.0,147.95,5764444
2019-06-19,ADANIENT,148.45,149.75,140.6,142.8,4744374
2019-06-20,ADANIENT,142.3,149.7,140.35,148.45,4477064
2019-06-21,ADANIENT,147.0,152.0,145.95,146.8,4673136
2019-06-24,ADANIENT,145.9,148.8,144.6,147.75,3240654
2019-06-25,ADANIENT,146.5,151.95,144.85,150.85,4920288
2019-06-26,ADANIENT,150.0,155.3,148.5,153.8,4779891
2019-06-27,ADANIENT,152.3,154.95,151.5,152.85,2858423
2019-06-28,ADANIENT,152.5,156.3,149.8,150.5,4642404
2019-07-01,ADANIENT,150.65,155.6,148.05,154.1,6182608
2019-07-02,ADANIENT,154.9,158.2,151.4,154.7,11741576
2019-07-03,ADANIENT,156.4,157.6,154.2,155.6,5661251
2019-07-04,ADANIENT,160.1,161.8,154.3,156.1,15687573
2019-07-05,ADANIENT,156.3,156.85,145.85,147.3,6607087
2019-07-08,ADANIENT,143.25,146.25,137.55,138.9,5896584
2019-07-09,ADANIENT,138.05,143.2,135.75,141.15,7317997
2019-07-10,ADANIENT,142.0,142.5,137.25,139.35,5548654
2019-07-11,ADANIENT,140.5,141.85,137.5,141.0,5098558
2019-07-12,ADANIENT,141.0,143.45,137.8,140.3,6678610
2019-07-15,ADANIENT,141.0,141.7,136.1,137.95,4491271
2019-07-16,ADANIENT,137.9,140.95,136.6,140.15,4954078
2019-07-17,ADANIENT,140.2,141.0,137.0,138.05,3984405
2019-07-18,ADANIENT,137.7,137.95,133.35,134.2,4247055
2019-07-19,ADANIENT,134.25,135.2,130.3,131.4,4256095
2019-07-22,ADANIENT,130.75,134.2,128.7,131.65,5467444
2019-07-23,ADANIENT,131.45,135.95,130.75,134.05,5753483
2019-07-24,ADANIENT,133.45,134.0,127.85,129.8,5403438
2019-07-25,ADANIENT,130.5,131.3,127.75,129.4,3977652
2019-07-26,ADANIENT,129.4,134.2,128.4,131.85,3632048
2019-07-29,ADANIENT,131.0,131.85,127.1,129.45,4349871
2019-07-30,ADANIENT,128.0,131.0,123.85,125.35,4167043
2019-07-31,ADANIENT,125.0,129.3,124.2,128.8,3665392
2019-08-01,ADANIENT,128.6,129.1,123.0,125.45,4462938
2019-08-02,ADANIENT,124.9,129.75,123.3,128.1,4637509
2019-08-05,ADANIENT,126.2,126.4,121.15,124.7,5259236
2019-08-06,ADANIENT,124.0,129.45,124.0,128.2,3899290
2019-08-07,ADANIENT,128.2,130.15,124.6,125.6,3911797
2019-08-08,ADANIENT,126.2,134.0,124.05,130.9,7070036
2019-08-09,ADANIENT,134.7,135.9,130.1,132.4,8589075
2019-08-13,ADANIENT,133.0,133.9,128.6,130.3,4226112
